List of Differential Expressed Genes,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TMEM199.2,1.53E-12,0.06799389,0.182,0.251,3.98E-08,TAM,TMEM199
PIGC.2,1.55E-12,0.01506902,0.143,0.202,4.02E-08,TAM,PIGC
OXA1L.2,1.58E-12,-0.044701235,0.401,0.523,4.09E-08,TAM,OXA1L
ASUN.1,1.58E-12,-0.09168535,0.071,0.111,4.10E-08,TAM,ASUN
IGHG4.2,1.61E-12,0.597578189,0.147,0.112,4.19E-08,TAM,IGHG4
SUPT16H.2,1.62E-12,0.037955963,0.163,0.226,4.19E-08,TAM,SUPT16H
MRTO4.2,1.63E-12,-0.005921507,0.16,0.223,4.23E-08,TAM,MRTO4
ZMYM4.1,1.67E-12,-0.085438949,0.07,0.109,4.33E-08,TAM,ZMYM4
SH2B2.2,1.75E-12,-0.072033631,0.065,0.102,4.53E-08,TAM,SH2B2
DYNC1LI1.2,1.75E-12,0.085588358,0.219,0.302,4.54E-08,TAM,DYNC1LI1
FASTK.2,1.76E-12,0.069163567,0.189,0.26,4.57E-08,TAM,FASTK
TMEM69.2,1.76E-12,-0.018825382,0.125,0.179,4.57E-08,TAM,TMEM69
NOTCH1.2,1.77E-12,0.015733977,0.091,0.136,4.60E-08,TAM,NOTCH1
NNT-AS1.2,1.89E-12,-0.1820216,0.066,0.103,4.89E-08,TAM,NNT-AS1
RNF41.2,1.89E-12,-0.05165177,0.15,0.209,4.90E-08,TAM,RNF41
CKAP5.1,1.90E-12,-0.131198017,0.08,0.121,4.93E-08,TAM,CKAP5
GTF2E2.2,1.92E-12,0.08729763,0.188,0.259,4.97E-08,TAM,GTF2E2
CCM2.2,1.94E-12,0.040407871,0.228,0.309,5.03E-08,TAM,CCM2
ABCC5.2,2.02E-12,-0.394350978,0.071,0.108,5.24E-08,TAM,ABCC5
GSK3B.2,2.03E-12,0.044263317,0.157,0.22,5.26E-08,TAM,GSK3B
RP11-138A9.2.1,2.03E-12,0.957332003,0.107,0.077,5.27E-08,TAM,RP11-138A9.2
HUS1.2,2.04E-12,0.08365454,0.157,0.221,5.30E-08,TAM,HUS1
ANKH.2,2.06E-12,0.734153654,0.167,0.134,5.33E-08,TAM,ANKH
ISOC2.2,2.09E-12,-0.066757896,0.372,0.481,5.41E-08,TAM,ISOC2
TRABD.1,2.10E-12,0.633291464,0.347,0.341,5.46E-08,TAM,TRABD
ABHD8.2,2.10E-12,0.019475536,0.129,0.184,5.46E-08,TAM,ABHD8
TSR3.2,2.13E-12,0.002522969,0.221,0.299,5.52E-08,TAM,TSR3
ABHD15.2,2.14E-12,-0.055512747,0.073,0.113,5.56E-08,TAM,ABHD15
PSMA6.2,2.20E-12,0.197492202,0.171,0.241,5.70E-08,TAM,PSMA6
RCHY1.2,2.20E-12,-0.010686629,0.104,0.152,5.71E-08,TAM,RCHY1
JUND.2,2.20E-12,0.166627303,0.783,0.814,5.72E-08,TAM,JUND
GAPVD1.2,2.21E-12,0.110143555,0.128,0.183,5.72E-08,TAM,GAPVD1
PMM1.1,2.21E-12,-0.02865354,0.099,0.145,5.73E-08,TAM,PMM1
WDR26.1,2.21E-12,0.093473505,0.26,0.348,5.73E-08,TAM,WDR26
RBM42.2,2.21E-12,0.054499499,0.252,0.341,5.74E-08,TAM,RBM42
BAZ1B.2,2.23E-12,0.052681743,0.172,0.237,5.79E-08,TAM,BAZ1B
DHRS4L2.2,2.24E-12,-0.004773885,0.28,0.374,5.81E-08,TAM,DHRS4L2
KCNQ1.2,2.31E-12,0.005607702,0.104,0.153,5.98E-08,TAM,KCNQ1
TRIM25.2,2.31E-12,0.173843678,0.184,0.256,5.98E-08,TAM,TRIM25
TRAPPC8.2,2.31E-12,-0.001946182,0.085,0.128,5.99E-08,TAM,TRAPPC8
STRADB.1,2.41E-12,-0.098594844,0.072,0.111,6.26E-08,TAM,STRADB
C11orf71.2,2.43E-12,0.003850162,0.069,0.108,6.31E-08,TAM,C11orf71
ACVR1.1,2.45E-12,0.053738318,0.063,0.1,6.35E-08,TAM,ACVR1
RBM18.2,2.45E-12,0.094662337,0.157,0.219,6.36E-08,TAM,RBM18
KMT5A.2,2.45E-12,-0.021590083,0.078,0.118,6.37E-08,TAM,KMT5A
C12orf43.2,2.49E-12,-0.102223211,0.071,0.11,6.47E-08,TAM,C12orf43
ATPIF1.2,2.50E-12,-0.09870033,0.659,0.765,6.48E-08,TAM,ATPIF1
PIK3C3.2,2.51E-12,0.040471837,0.08,0.122,6.50E-08,TAM,PIK3C3
PFDN4.2,2.54E-12,0.073387299,0.262,0.354,6.58E-08,TAM,PFDN4
PRPF19.2,2.56E-12,-0.006592201,0.136,0.192,6.64E-08,TAM,PRPF19
OST4.1,2.60E-12,-0.100700753,0.855,0.906,6.76E-08,TAM,OST4
INF2.2,2.63E-12,0.100556621,0.181,0.249,6.82E-08,TAM,INF2
MRPS28.2,2.63E-12,0.057439955,0.159,0.222,6.82E-08,TAM,MRPS28
ZRANB2.2,2.64E-12,0.105302819,0.186,0.258,6.86E-08,TAM,ZRANB2
KBTBD2.2,2.68E-12,0.035948171,0.093,0.138,6.96E-08,TAM,KBTBD2
ICMT.1,2.77E-12,-0.01920767,0.123,0.175,7.19E-08,TAM,ICMT
DUSP11.2,2.88E-12,-0.020449924,0.124,0.177,7.47E-08,TAM,DUSP11
TMEM218.2,2.94E-12,0.016069509,0.154,0.215,7.64E-08,TAM,TMEM218
ATRX.2,2.96E-12,0.051724461,0.325,0.43,7.67E-08,TAM,ATRX
MRPL39.1,2.98E-12,-0.081644074,0.064,0.101,7.72E-08,TAM,MRPL39
NUP93.2,2.99E-12,0.012647582,0.111,0.16,7.75E-08,TAM,NUP93
BTN3A1.2,3.09E-12,-0.112672725,0.073,0.111,8.01E-08,TAM,BTN3A1
TATDN3.2,3.11E-12,0.025104121,0.105,0.153,8.06E-08,TAM,TATDN3
PREP.2,3.13E-12,-0.093495533,0.069,0.107,8.11E-08,TAM,PREP
EXOC6.1,3.15E-12,-0.007691502,0.088,0.131,8.17E-08,TAM,EXOC6
RASA2.1,3.26E-12,-0.007608227,0.102,0.148,8.45E-08,TAM,RASA2
CAAP1.2,3.29E-12,-0.097028761,0.067,0.104,8.53E-08,TAM,CAAP1
ABI3.1,3.32E-12,0.561896134,0.368,0.361,8.60E-08,TAM,ABI3
C19orf52.2,3.34E-12,-0.017186278,0.086,0.129,8.67E-08,TAM,C19orf52
SIPA1L2.2,3.44E-12,0.085001294,0.131,0.186,8.92E-08,TAM,SIPA1L2
NMD3.2,3.55E-12,0.000138637,0.127,0.18,9.22E-08,TAM,NMD3
MCRS1.2,3.68E-12,0.038875906,0.17,0.236,9.55E-08,TAM,MCRS1
APEH.2,3.69E-12,0.007306676,0.165,0.229,9.56E-08,TAM,APEH
CLIP1.2,3.72E-12,0.074358065,0.255,0.34,9.65E-08,TAM,CLIP1
POGZ.2,3.75E-12,-0.013790055,0.128,0.18,9.73E-08,TAM,POGZ
HSPB1.2,3.76E-12,0.001961878,0.818,0.876,9.76E-08,TAM,HSPB1
PIN1.2,3.87E-12,-0.046348996,0.451,0.583,1.00E-07,TAM,PIN1
KHNYN.2,3.89E-12,0.060394155,0.091,0.136,1.01E-07,TAM,KHNYN
WHSC1L1.2,3.90E-12,0.086281169,0.265,0.359,1.01E-07,TAM,WHSC1L1
CDC73.2,4.14E-12,0.049404691,0.19,0.26,1.07E-07,TAM,CDC73
POLR2B.2,4.15E-12,0.128363851,0.171,0.237,1.08E-07,TAM,POLR2B
SFPQ.2,4.16E-12,0.343117473,0.552,0.577,1.08E-07,TAM,SFPQ
POLR3C.1,4.23E-12,-0.063427556,0.066,0.103,1.10E-07,TAM,POLR3C
PUS1.2,4.28E-12,-0.107101001,0.067,0.104,1.11E-07,TAM,PUS1
INSIG1.1,4.29E-12,0.940199768,0.312,0.294,1.11E-07,TAM,INSIG1
MRPL22.2,4.31E-12,0.075636797,0.265,0.358,1.12E-07,TAM,MRPL22
ITCH.2,4.36E-12,-0.080385392,0.086,0.128,1.13E-07,TAM,ITCH
KLC1.2,4.42E-12,-0.005826679,0.136,0.19,1.15E-07,TAM,KLC1
TOP1MT.2,4.45E-12,0.012619337,0.093,0.138,1.15E-07,TAM,TOP1MT
MRPL37.2,4.58E-12,0.039349898,0.242,0.327,1.19E-07,TAM,MRPL37
FAM168B.2,4.73E-12,-0.045037096,0.091,0.134,1.23E-07,TAM,FAM168B
SPAG7.2,4.74E-12,0.008560432,0.364,0.479,1.23E-07,TAM,SPAG7
FIS1.2,4.79E-12,-0.130843349,0.669,0.778,1.24E-07,TAM,FIS1
PEF1.2,4.79E-12,0.076053318,0.193,0.265,1.24E-07,TAM,PEF1
CHD8.1,4.82E-12,-0.07777113,0.09,0.133,1.25E-07,TAM,CHD8
FAM91A1.1,4.84E-12,-0.015578373,0.15,0.208,1.26E-07,TAM,FAM91A1
TOPORS.2,4.90E-12,0.050475435,0.143,0.2,1.27E-07,TAM,TOPORS
THOC3.2,4.97E-12,-0.033212023,0.077,0.117,1.29E-07,TAM,THOC3
RNF2.2,5.04E-12,-0.049165864,0.118,0.167,1.31E-07,TAM,RNF2
TRNT1.2,5.07E-12,-0.048797549,0.069,0.106,1.32E-07,TAM,TRNT1
ARRDC1.2,5.15E-12,0.060525953,0.196,0.269,1.33E-07,TAM,ARRDC1
LRRFIP2.2,5.15E-12,0.069020755,0.233,0.314,1.34E-07,TAM,LRRFIP2
RSRC1.2,5.20E-12,0.002567491,0.236,0.316,1.35E-07,TAM,RSRC1
FAR1.1,5.28E-12,0.122950874,0.146,0.204,1.37E-07,TAM,FAR1
PIK3CG.2,5.30E-12,-0.028564209,0.068,0.106,1.37E-07,TAM,PIK3CG
TRIM28.1,5.36E-12,0.081431977,0.159,0.221,1.39E-07,TAM,TRIM28
ERF.2,5.43E-12,-0.142200653,0.07,0.107,1.41E-07,TAM,ERF
AFTPH.2,5.47E-12,0.071056948,0.173,0.24,1.42E-07,TAM,AFTPH
VDAC1.2,5.50E-12,0.210803778,0.722,0.771,1.43E-07,TAM,VDAC1
NUDT21.2,5.52E-12,0.03730862,0.282,0.377,1.43E-07,TAM,NUDT21
CNOT2.2,5.55E-12,0.094733576,0.22,0.299,1.44E-07,TAM,CNOT2
UBL3.1,5.58E-12,-0.006144834,0.303,0.399,1.45E-07,TAM,UBL3
MRPL2.2,5.59E-12,0.027080945,0.152,0.213,1.45E-07,TAM,MRPL2
EIF2AK4.2,5.65E-12,0.00501984,0.202,0.274,1.47E-07,TAM,EIF2AK4
NPRL3.2,5.70E-12,0.000373922,0.084,0.125,1.48E-07,TAM,NPRL3
ADNP.2,5.73E-12,0.00977187,0.1,0.146,1.49E-07,TAM,ADNP
IRF1.1,5.75E-12,0.522862061,0.467,0.483,1.49E-07,TAM,IRF1
HSPA14.2,5.85E-12,-0.090311555,0.082,0.122,1.52E-07,TAM,HSPA14
PRR14L.2,5.86E-12,-0.024258019,0.082,0.122,1.52E-07,TAM,PRR14L
DNAJC21.2,5.93E-12,0.063658483,0.19,0.259,1.54E-07,TAM,DNAJC21
SLC30A5.2,5.97E-12,0.026582982,0.11,0.159,1.55E-07,TAM,SLC30A5
METTL5.2,5.98E-12,0.051058377,0.329,0.438,1.55E-07,TAM,METTL5
ABTB1.2,5.99E-12,-0.060098378,0.111,0.159,1.55E-07,TAM,ABTB1
FAM210A.2,6.04E-12,0.141316249,0.125,0.178,1.57E-07,TAM,FAM210A
WASF2.2,6.04E-12,-0.081327326,0.545,0.672,1.57E-07,TAM,WASF2
CCDC47.1,6.14E-12,0.095398884,0.259,0.348,1.59E-07,TAM,CCDC47
ESD.2,6.23E-12,-0.086027391,0.498,0.617,1.62E-07,TAM,ESD
MCCC2.2,6.25E-12,-0.040178447,0.076,0.116,1.62E-07,TAM,MCCC2
RAB7A.2,6.34E-12,-0.091127344,0.744,0.831,1.64E-07,TAM,RAB7A
ARMCX6.2,6.40E-12,0.022327113,0.26,0.348,1.66E-07,TAM,ARMCX6
MED4.2,6.45E-12,0.085126428,0.254,0.344,1.67E-07,TAM,MED4
CALM1.2,6.57E-12,0.188771605,0.942,0.938,1.70E-07,TAM,CALM1
RBMX.2,6.78E-12,-0.042070483,0.411,0.531,1.76E-07,TAM,RBMX
PAK1IP1.2,6.79E-12,0.083196399,0.119,0.171,1.76E-07,TAM,PAK1IP1
RRN3.1,6.98E-12,0.052495559,0.094,0.138,1.81E-07,TAM,RRN3
PRPF18.2,6.99E-12,0.05291565,0.13,0.185,1.81E-07,TAM,PRPF18
DUSP3.2,7.00E-12,0.03634948,0.335,0.441,1.81E-07,TAM,DUSP3
AAAS.1,7.02E-12,-0.068844995,0.064,0.101,1.82E-07,TAM,AAAS
RIF1.2,7.07E-12,0.096657159,0.124,0.177,1.83E-07,TAM,RIF1
HIPK1.2,7.09E-12,0.076278464,0.196,0.268,1.84E-07,TAM,HIPK1
CLK1.1,7.20E-12,0.457694858,0.422,0.424,1.87E-07,TAM,CLK1
TBPL1.2,7.37E-12,0.042378551,0.108,0.156,1.91E-07,TAM,TBPL1
C8orf33.2,7.42E-12,0.02203979,0.123,0.175,1.92E-07,TAM,C8orf33
PTRHD1.2,7.42E-12,-0.030473751,0.351,0.463,1.92E-07,TAM,PTRHD1
CCDC88A.2,7.74E-12,-0.067755961,0.566,0.694,2.01E-07,TAM,CCDC88A
CDK10.2,7.74E-12,-0.004975229,0.093,0.137,2.01E-07,TAM,CDK10
CRTC2.2,7.78E-12,-0.073610342,0.065,0.101,2.02E-07,TAM,CRTC2
MINPP1.2,7.96E-12,-0.034835044,0.069,0.106,2.06E-07,TAM,MINPP1
RPL34,8.02E-12,-0.057307386,0.994,0.997,2.08E-07,TAM,RPL34
GANAB.1,8.07E-12,0.057014875,0.218,0.294,2.09E-07,TAM,GANAB
EIF5B.2,8.18E-12,-0.009152682,0.462,0.592,2.12E-07,TAM,EIF5B
OPA1.2,8.21E-12,0.014194378,0.122,0.172,2.13E-07,TAM,OPA1
GPS2.1,8.25E-12,-0.012529678,0.065,0.102,2.14E-07,TAM,GPS2
RB1.2,8.27E-12,0.566277333,0.286,0.263,2.15E-07,TAM,RB1
SECISBP2.2,8.40E-12,0.099987118,0.157,0.219,2.18E-07,TAM,SECISBP2
FAM32A.2,8.44E-12,-0.013068843,0.332,0.44,2.19E-07,TAM,FAM32A
HDAC10.2,8.51E-12,0.0192886,0.104,0.15,2.21E-07,TAM,HDAC10
MRPL17.2,8.52E-12,0.048460642,0.253,0.337,2.21E-07,TAM,MRPL17
IFI44L.1,8.53E-12,1.127108559,0.271,0.253,2.21E-07,TAM,IFI44L
CXorf38.2,8.57E-12,0.078944484,0.15,0.209,2.22E-07,TAM,CXorf38
TMA16.2,8.59E-12,-0.010283745,0.144,0.2,2.23E-07,TAM,TMA16
MAP3K2.1,8.62E-12,0.623351304,0.386,0.388,2.24E-07,TAM,MAP3K2
TEX261.1,8.78E-12,0.010055509,0.094,0.138,2.28E-07,TAM,TEX261
ING4.2,8.99E-12,0.05813752,0.103,0.149,2.33E-07,TAM,ING4
DNAJB9.1,9.09E-12,0.096710503,0.221,0.298,2.36E-07,TAM,DNAJB9
RIPK1.2,9.23E-12,-0.111191261,0.069,0.106,2.39E-07,TAM,RIPK1
THOC1.2,9.31E-12,-0.08527905,0.075,0.114,2.42E-07,TAM,THOC1
PACS2.2,9.32E-12,0.061484495,0.113,0.162,2.42E-07,TAM,PACS2
IGHG1.2,9.35E-12,0.844253729,0.112,0.081,2.43E-07,TAM,IGHG1
CHCHD4.2,9.43E-12,-0.138047849,0.074,0.112,2.45E-07,TAM,CHCHD4
POLRMT.2,9.83E-12,-0.053666004,0.076,0.115,2.55E-07,TAM,POLRMT
DLG1.1,9.96E-12,0.133195734,0.088,0.13,2.58E-07,TAM,DLG1
U2SURP.2,9.97E-12,0.03572324,0.312,0.411,2.59E-07,TAM,U2SURP
ZC3H4.2,1.01E-11,-0.047118836,0.071,0.109,2.61E-07,TAM,ZC3H4
RMND5B.2,1.02E-11,-0.012524441,0.079,0.119,2.66E-07,TAM,RMND5B
ARID4A.2,1.03E-11,0.064248534,0.229,0.308,2.66E-07,TAM,ARID4A
MRPS11.2,1.03E-11,0.031784324,0.269,0.362,2.66E-07,TAM,MRPS11
TMPO.2,1.03E-11,-0.111670956,0.115,0.162,2.67E-07,TAM,TMPO
C4orf32.2,1.06E-11,-0.008371645,0.074,0.112,2.76E-07,TAM,C4orf32
ZNF480.2,1.08E-11,0.053379402,0.08,0.121,2.79E-07,TAM,ZNF480
ACOT8.2,1.08E-11,0.028980208,0.129,0.183,2.80E-07,TAM,ACOT8
CPSF3.2,1.11E-11,0.121153304,0.1,0.146,2.89E-07,TAM,CPSF3
SARS.2,1.13E-11,0.04352887,0.295,0.392,2.92E-07,TAM,SARS
NECAP2.2,1.13E-11,-0.065383172,0.47,0.593,2.93E-07,TAM,NECAP2
EP300.2,1.14E-11,0.105682423,0.142,0.2,2.95E-07,TAM,EP300
DDX23.2,1.15E-11,-0.03166201,0.106,0.152,2.98E-07,TAM,DDX23
DCTN1.2,1.15E-11,0.083091569,0.134,0.188,2.99E-07,TAM,DCTN1
KLHL7.2,1.16E-11,0.028162017,0.074,0.113,3.01E-07,TAM,KLHL7
PARN.2,1.16E-11,0.050817844,0.11,0.157,3.01E-07,TAM,PARN
TRADD.2,1.16E-11,0.02179634,0.307,0.405,3.02E-07,TAM,TRADD
COX6B1.2,1.20E-11,0.114390906,0.931,0.938,3.12E-07,TAM,COX6B1
ATP5J2.2,1.20E-11,-0.108776599,0.798,0.859,3.12E-07,TAM,ATP5J2
ACTN1.2,1.21E-11,-0.022621398,0.513,0.635,3.14E-07,TAM,ACTN1
FAM63B.2,1.22E-11,0.064192571,0.117,0.167,3.16E-07,TAM,FAM63B
USP34.2,1.22E-11,0.020288568,0.163,0.224,3.16E-07,TAM,USP34
PRDX3.2,1.24E-11,-0.059799462,0.524,0.648,3.21E-07,TAM,PRDX3
EIF3L.2,1.25E-11,-0.076130508,0.6,0.739,3.23E-07,TAM,EIF3L
ZNFX1.2,1.25E-11,0.129178426,0.227,0.305,3.23E-07,TAM,ZNFX1
MICAL1.2,1.25E-11,0.05821765,0.213,0.286,3.25E-07,TAM,MICAL1
GCLM.1,1.30E-11,-0.018925924,0.08,0.119,3.38E-07,TAM,GCLM
MED10.2,1.31E-11,0.05520803,0.299,0.399,3.40E-07,TAM,MED10
COX19.2,1.33E-11,0.149480708,0.17,0.236,3.45E-07,TAM,COX19
FBXO22.2,1.34E-11,-0.052491249,0.077,0.116,3.47E-07,TAM,FBXO22
TANGO2.1,1.34E-11,-0.075830916,0.108,0.155,3.48E-07,TAM,TANGO2
GOT2.2,1.35E-11,-0.003766555,0.116,0.165,3.50E-07,TAM,GOT2
SDC4.1,1.41E-11,0.742193272,0.219,0.19,3.65E-07,TAM,SDC4
MCMBP.2,1.43E-11,0.019629921,0.157,0.216,3.71E-07,TAM,MCMBP
VPS33A.2,1.44E-11,-0.004535643,0.074,0.112,3.74E-07,TAM,VPS33A
SRC.2,1.44E-11,0.123361433,0.1,0.145,3.75E-07,TAM,SRC
HDAC1.2,1.47E-11,0.071337667,0.16,0.221,3.81E-07,TAM,HDAC1
MUL1.2,1.47E-11,-0.068361676,0.076,0.114,3.82E-07,TAM,MUL1
PIK3CA.2,1.50E-11,0.016746094,0.072,0.11,3.88E-07,TAM,PIK3CA
NOC3L.2,1.53E-11,0.003147812,0.074,0.112,3.96E-07,TAM,NOC3L
INTS6.2,1.53E-11,0.092913466,0.231,0.306,3.98E-07,TAM,INTS6
RPS10,1.54E-11,-0.082504849,0.932,0.958,3.99E-07,TAM,RPS10
PRRC2B.1,1.56E-11,-0.019043761,0.122,0.173,4.04E-07,TAM,PRRC2B
FUBP3.1,1.58E-11,0.019769948,0.1,0.145,4.09E-07,TAM,FUBP3
SNX1.2,1.58E-11,0.024587308,0.253,0.337,4.10E-07,TAM,SNX1
GATAD2A.2,1.58E-11,0.135763061,0.149,0.208,4.11E-07,TAM,GATAD2A
MAPKAPK5.2,1.58E-11,-0.061144,0.124,0.174,4.11E-07,TAM,MAPKAPK5
TRIM33.1,1.61E-11,0.132628568,0.167,0.23,4.19E-07,TAM,TRIM33
MVB12A.2,1.62E-11,0.073810822,0.232,0.314,4.21E-07,TAM,MVB12A
RP2.2,1.63E-11,0.167852252,0.177,0.244,4.22E-07,TAM,RP2
UBL5.2,1.63E-11,-0.071755415,0.866,0.906,4.24E-07,TAM,UBL5
PLXDC2.1,1.64E-11,0.306381666,0.615,0.668,4.26E-07,TAM,PLXDC2
PFDN2.2,1.65E-11,-0.059209283,0.579,0.698,4.29E-07,TAM,PFDN2
VPS26B.2,1.66E-11,-0.016585209,0.168,0.23,4.30E-07,TAM,VPS26B
RBM26.1,1.74E-11,0.069278512,0.158,0.217,4.51E-07,TAM,RBM26
FAM122B.2,1.74E-11,-0.032954754,0.072,0.109,4.51E-07,TAM,FAM122B
TMEM203.2,1.74E-11,-0.051746979,0.101,0.146,4.52E-07,TAM,TMEM203
ACBD5.1,1.75E-11,0.047801045,0.129,0.182,4.54E-07,TAM,ACBD5
UGGT1.2,1.77E-11,0.034584025,0.11,0.157,4.58E-07,TAM,UGGT1
RAP2A.2,1.80E-11,-0.008832667,0.191,0.255,4.68E-07,TAM,RAP2A
FAHD1.2,1.87E-11,0.043821309,0.118,0.168,4.84E-07,TAM,FAHD1
MRPL11.2,1.89E-11,-0.043472232,0.427,0.55,4.90E-07,TAM,MRPL11
ATXN2,1.92E-11,0.05405701,0.108,0.155,4.97E-07,TAM,ATXN2
BCL10.2,1.95E-11,0.137414132,0.158,0.218,5.05E-07,TAM,BCL10
MFSD14A.2,1.96E-11,0.031097887,0.108,0.154,5.09E-07,TAM,MFSD14A
C2orf49.2,1.97E-11,-0.030328235,0.07,0.107,5.11E-07,TAM,C2orf49
WDR37.1,1.98E-11,-0.19761429,0.091,0.131,5.14E-07,TAM,WDR37
ALDH16A1,2.02E-11,0.035712461,0.156,0.215,5.23E-07,TAM,ALDH16A1
USP10.2,2.13E-11,0.042414554,0.139,0.193,5.53E-07,TAM,USP10
POM121C.1,2.14E-11,-0.053707225,0.079,0.118,5.56E-07,TAM,POM121C
RARS2.2,2.16E-11,0.0340587,0.084,0.125,5.61E-07,TAM,RARS2
FBXW2.2,2.18E-11,-0.03729906,0.126,0.177,5.66E-07,TAM,FBXW2
ARF3.2,2.19E-11,-0.035752879,0.452,0.575,5.69E-07,TAM,ARF3
PML.2,2.23E-11,0.1314917,0.128,0.18,5.78E-07,TAM,PML
INO80E.2,2.23E-11,0.057715676,0.143,0.199,5.78E-07,TAM,INO80E
USP8.2,2.23E-11,0.020403528,0.292,0.386,5.79E-07,TAM,USP8
LITAF.2,2.23E-11,0.008048934,0.835,0.908,5.80E-07,TAM,LITAF
HNRNPAB.2,2.24E-11,0.008586891,0.376,0.489,5.82E-07,TAM,HNRNPAB
SEC24B.2,2.25E-11,-0.105822644,0.08,0.119,5.84E-07,TAM,SEC24B
GSK3A.2,2.26E-11,0.059965258,0.117,0.167,5.85E-07,TAM,GSK3A
ACAA1.2,2.32E-11,-0.049963639,0.392,0.503,6.02E-07,TAM,ACAA1
SOS1,2.36E-11,-0.199633339,0.08,0.118,6.11E-07,TAM,SOS1
WARS.2,2.36E-11,0.189334966,0.382,0.503,6.11E-07,TAM,WARS
MGRN1.2,2.40E-11,0.125974072,0.147,0.204,6.22E-07,TAM,MGRN1
GNPAT.2,2.46E-11,0.031122587,0.15,0.208,6.37E-07,TAM,GNPAT
RAB42.2,2.46E-11,0.125104851,0.144,0.195,6.39E-07,TAM,RAB42
ZFAS1.2,2.46E-11,-0.08857663,0.813,0.882,6.39E-07,TAM,ZFAS1
SMIM13.2,2.49E-11,0.027388139,0.083,0.123,6.47E-07,TAM,SMIM13
COLGALT1.2,2.50E-11,0.046277268,0.384,0.506,6.47E-07,TAM,COLGALT1
DCK.1,2.56E-11,0.002407137,0.18,0.244,6.63E-07,TAM,DCK
GOSR2.1,2.56E-11,0.113014489,0.121,0.171,6.64E-07,TAM,GOSR2
RBM14.2,2.56E-11,-0.074578688,0.108,0.155,6.65E-07,TAM,RBM14
IKZF1.2,2.61E-11,0.116969262,0.233,0.316,6.76E-07,TAM,IKZF1
ATG13.2,2.61E-11,-0.063067623,0.087,0.128,6.77E-07,TAM,ATG13
COX8A.2,2.61E-11,0.107106147,0.909,0.919,6.78E-07,TAM,COX8A
ZZEF1.1,2.64E-11,0.053945772,0.098,0.142,6.85E-07,TAM,ZZEF1
DHDDS.1,2.67E-11,0.006811003,0.088,0.129,6.92E-07,TAM,DHDDS
ESRRA.2,2.67E-11,-0.010155944,0.154,0.212,6.94E-07,TAM,ESRRA
SMC5.2,2.77E-11,0.036757017,0.115,0.163,7.20E-07,TAM,SMC5
TFE3.1,2.82E-11,-0.065427596,0.091,0.133,7.33E-07,TAM,TFE3
UCHL5.2,2.84E-11,0.118928046,0.114,0.163,7.36E-07,TAM,UCHL5
RHOH.2,2.92E-11,0.847775661,0.116,0.087,7.56E-07,TAM,RHOH
SNX19.1,2.92E-11,-0.197679884,0.071,0.107,7.58E-07,TAM,SNX19
PSME3.2,2.93E-11,0.097057238,0.179,0.246,7.60E-07,TAM,PSME3
WASH1.2,2.95E-11,0.125011141,0.134,0.188,7.66E-07,TAM,WASH1
TUBA1C.2,3.03E-11,0.265234201,0.569,0.593,7.87E-07,TAM,TUBA1C
COPA.2,3.03E-11,0.115549235,0.327,0.433,7.87E-07,TAM,COPA
DIS3.2,3.07E-11,0.099245457,0.088,0.13,7.96E-07,TAM,DIS3
PDCL3.2,3.08E-11,0.049354276,0.27,0.361,8.00E-07,TAM,PDCL3
FEM1B.2,3.12E-11,0.076745291,0.142,0.197,8.10E-07,TAM,FEM1B
ANKRD49.2,3.15E-11,0.009266618,0.074,0.112,8.16E-07,TAM,ANKRD49
RNF135.1,3.16E-11,0.043770524,0.27,0.361,8.21E-07,TAM,RNF135
MAP7D1.2,3.27E-11,0.033420866,0.373,0.484,8.48E-07,TAM,MAP7D1
TMC8.2,3.33E-11,0.048398859,0.12,0.17,8.64E-07,TAM,TMC8
RNF26.2,3.34E-11,-0.058573866,0.072,0.11,8.66E-07,TAM,RNF26
TBXAS1.1,3.36E-11,-0.026010527,0.372,0.478,8.72E-07,TAM,TBXAS1
DNAJC15.1,3.37E-11,0.312301427,0.585,0.629,8.75E-07,TAM,DNAJC15
SMAD4.1,3.38E-11,0.026457083,0.074,0.111,8.76E-07,TAM,SMAD4
MRPL40.2,3.39E-11,0.014227764,0.356,0.465,8.80E-07,TAM,MRPL40
RNF5.2,3.47E-11,0.017705842,0.339,0.445,9.01E-07,TAM,RNF5
SDSL.1,3.52E-11,0.607530491,0.358,0.358,9.14E-07,TAM,SDSL
TBC1D5.1,3.57E-11,0.066343567,0.141,0.197,9.25E-07,TAM,TBC1D5
MT1E.1,3.70E-11,0.978960329,0.144,0.113,9.60E-07,TAM,MT1E
MEAF6.2,3.80E-11,0.022556046,0.324,0.427,9.85E-07,TAM,MEAF6
SPINT1.2,3.80E-11,0.084720628,0.219,0.291,9.87E-07,TAM,SPINT1
BTBD10.2,3.83E-11,0.019692752,0.084,0.124,9.93E-07,TAM,BTBD10
LMNA.2,3.84E-11,0.290308891,0.807,0.851,9.96E-07,TAM,LMNA
PRELID3B.2,3.84E-11,0.068263798,0.257,0.342,9.97E-07,TAM,PRELID3B
PPP1R12C.2,3.98E-11,0.152080282,0.1,0.144,1.03E-06,TAM,PPP1R12C
ECD.1,4.03E-11,0.132068001,0.065,0.1,1.05E-06,TAM,ECD
