,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
STK4,8.54E-11,-0.286248967,0.641,0.405,2.22E-06
PPP4R3B,3.52E-12,-0.286433134,0.388,0.237,9.12E-08
TRABD,9.16E-11,-0.286510841,0.522,0.332,2.38E-06
SGK3,3.44E-13,-0.286995717,0.411,0.249,8.93E-09
EIF1,2.41E-24,-0.287165029,1,0.99,6.26E-20
AFF4,8.39E-09,-0.287394212,0.588,0.381,0.000217542
WBP5,9.70E-15,-0.287654241,0.497,0.305,2.52E-10
AIDA,2.49E-14,-0.288742742,0.445,0.268,6.46E-10
SLC25A6,3.04E-14,-0.289335438,1,0.919,7.88E-10
CMIP,8.93E-14,-0.289446804,0.497,0.299,2.32E-09
DEF6,1.98E-15,-0.289777416,0.29,0.164,5.13E-11
SEC61G,0.378563672,-0.28984486,0.966,0.789,1
ZFAND2A,8.65E-16,-0.290455155,0.408,0.241,2.24E-11
ANKIB1,1.08E-10,-0.290460943,0.251,0.153,2.81E-06
ZNF672,2.34E-13,-0.290817571,0.311,0.182,6.06E-09
SUPT6H,2.12E-13,-0.291363888,0.3,0.176,5.51E-09
GPNMB,2.85E-07,-0.292255671,0.993,0.846,0.007388084
EIF4H,8.44E-07,-0.293047561,0.663,0.439,0.021901188
RPS5,6.36E-39,-0.293066849,1,0.978,1.65E-34
CPEB4,2.67E-08,-0.293093635,0.545,0.358,0.000692915
AKT1,5.30E-14,-0.293198126,0.34,0.199,1.37E-09
TMEM259,2.04E-12,-0.29322456,0.463,0.283,5.28E-08
ANKRD12,9.27E-05,-0.293345983,0.785,0.548,1
TTC3,5.86E-09,-0.294349148,0.617,0.396,0.000151961
ISG15,6.65E-37,-0.29471104,0.97,0.718,1.73E-32
PDXDC1,1.78E-12,-0.294853224,0.287,0.17,4.62E-08
ATP5G2,1.38E-18,-0.294879762,0.999,0.927,3.58E-14
FAAP20,1.48E-07,-0.295172073,0.698,0.45,0.003843839
PINK1,2.30E-10,-0.296605531,0.266,0.162,5.97E-06
PCBP2,0.019561446,-0.296793641,0.948,0.752,1
RAF1,2.51E-12,-0.296960863,0.372,0.225,6.52E-08
ARL8B,5.27E-06,-0.297162205,0.669,0.453,0.136714308
MSL1,9.85E-13,-0.297540493,0.303,0.18,2.55E-08
RPS23,1.01E-50,-0.298669036,1,0.995,2.63E-46
UAP1,3.06E-14,-0.298749409,0.325,0.188,7.93E-10
RBM26,1.02E-12,-0.299104908,0.33,0.197,2.65E-08
TRIM56,4.18E-12,-0.299111473,0.291,0.174,1.08E-07
PRMT2,0.000236055,-0.299128698,0.665,0.463,1
SUDS3,2.82E-13,-0.299234325,0.293,0.171,7.30E-09
GNS,0.011504291,-0.299464108,0.796,0.562,1
LYRM4,4.50E-13,-0.301269733,0.405,0.243,1.17E-08
TGFBI,0.086750512,-0.301468174,0.973,0.784,1
ARPIN,4.23E-12,-0.302026812,0.328,0.199,1.10E-07
ZBTB43,3.68E-11,-0.302441143,0.44,0.282,9.54E-07
SERTAD2,3.44E-11,-0.302576777,0.337,0.208,8.92E-07
MILR1,5.15E-15,-0.302646971,0.254,0.142,1.34E-10
TOP2B,2.34E-12,-0.302863476,0.274,0.161,6.07E-08
SOCS6,1.48E-14,-0.302910571,0.284,0.163,3.83E-10
HDAC3,5.02E-14,-0.303048269,0.327,0.19,1.30E-09
SCGB3A2,4.31E-31,-0.30315869,0.387,0.195,1.12E-26
PHKB,1.75E-12,-0.303666002,0.335,0.202,4.54E-08
MRPS6,1.97E-11,-0.303763256,0.598,0.372,5.12E-07
CAB39,4.23E-10,-0.303927724,0.522,0.333,1.10E-05
ATP5I,0.001637017,-0.304020272,0.971,0.798,1
ITGA5,1.33E-11,-0.304463931,0.485,0.301,3.45E-07
SLC25A33,6.94E-13,-0.30484759,0.397,0.241,1.80E-08
ASH1L,3.79E-11,-0.30502049,0.408,0.255,9.82E-07
KLF3,9.35E-15,-0.305495675,0.423,0.25,2.43E-10
SBNO1,4.00E-12,-0.305640743,0.268,0.159,1.04E-07
FAM210B,3.84E-10,-0.306431095,0.305,0.19,9.97E-06
RSRP1,6.68E-08,-0.306685131,0.561,0.375,0.001733745
PNN,1.00E-12,-0.306843747,0.503,0.309,2.61E-08
YTHDC1,7.03E-10,-0.307205453,0.508,0.321,1.82E-05
TSC22D4,3.97E-09,-0.307611506,0.452,0.29,0.00010297
TGIF1,3.10E-10,-0.307759649,0.625,0.4,8.04E-06
DNAJC5B,9.51E-12,-0.308278122,0.307,0.189,2.47E-07
DCP1A,2.50E-13,-0.308454933,0.31,0.182,6.50E-09
EEF2,2.30E-11,-0.308577447,0.994,0.883,5.98E-07
ID3,1.74E-16,-0.3088269,0.432,0.264,4.50E-12
AGPAT1,3.83E-10,-0.309649728,0.261,0.16,9.94E-06
VEZF1,2.52E-12,-0.30987025,0.293,0.175,6.54E-08
COX20,6.85E-10,-0.310564606,0.585,0.371,1.78E-05
ARID1A,3.68E-11,-0.310598122,0.44,0.273,9.56E-07
C3AR1,3.59E-16,-0.310673081,0.51,0.314,9.32E-12
CLDND1,2.75E-14,-0.310949673,0.341,0.2,7.14E-10
RPL9,2.97E-53,-0.310949848,1,0.994,7.71E-49
NSD1,3.25E-12,-0.311187201,0.298,0.178,8.42E-08
RPS28,5.38E-57,-0.312099069,1,0.993,1.40E-52
TNF,3.74E-27,-0.313177521,0.55,0.315,9.69E-23
APOPT1,1.98E-09,-0.313323538,0.558,0.353,5.15E-05
ANKRD11,1.94E-08,-0.31339881,0.628,0.41,0.000503892
RBMS1,0.00022999,-0.313960865,0.728,0.499,1
CYB5R4,6.09E-10,-0.314474084,0.521,0.332,1.58E-05
RPLP2,2.68E-65,-0.314526939,1,0.997,6.94E-61
RRAGC,1.40E-07,-0.314740703,0.471,0.315,0.003640834
TMEM218,1.06E-11,-0.314865001,0.323,0.195,2.76E-07
AKT1S1,1.29E-15,-0.314897635,0.262,0.144,3.36E-11
PTP4A2,0.164726691,-0.315561471,0.902,0.702,1
LGALS1,0.002582746,-0.315620626,1,0.981,1
ARFGAP3,3.45E-14,-0.315809524,0.487,0.291,8.95E-10
RPL37,2.03E-38,-0.315971094,1,0.988,5.27E-34
NUFIP2,3.96E-10,-0.316014824,0.547,0.347,1.03E-05
C19orf66,9.27E-14,-0.316615459,0.361,0.214,2.40E-09
FAM107B,1.70E-07,-0.316887489,0.583,0.386,0.004420331
PICALM,0.000827545,-0.317181697,0.728,0.5,1
RPS29,2.89E-45,-0.317437623,1,0.991,7.49E-41
RNF166,2.41E-09,-0.317722923,0.447,0.288,6.26E-05
NABP1,2.36E-13,-0.318280017,0.571,0.345,6.11E-09
FAM195B,0.005157929,-0.318605014,0.749,0.528,1
WSB1,0.753254241,-0.318759401,0.906,0.699,1
CBX1,9.88E-15,-0.318979334,0.281,0.16,2.56E-10
RPS16,1.08E-55,-0.31908761,1,0.994,2.79E-51
LSM14A,2.06E-06,-0.319447988,0.582,0.385,0.053419756
KIAA1551,1.08E-10,-0.319885151,0.317,0.198,2.81E-06
IER5,5.49E-08,-0.320343621,0.75,0.511,0.001424032
BRWD1,6.35E-13,-0.320667667,0.279,0.163,1.65E-08
SYAP1,6.23E-13,-0.320845608,0.616,0.384,1.62E-08
ATP6V1C1,1.98E-11,-0.320909063,0.485,0.302,5.15E-07
WDR26,3.78E-09,-0.320994534,0.496,0.319,9.81E-05
RPS13,5.90E-51,-0.321084473,1,0.993,1.53E-46
PDS5A,7.18E-11,-0.321293117,0.363,0.225,1.86E-06
SLC43A3,1.36E-10,-0.321721448,0.544,0.344,3.53E-06
LINC00657,6.84E-08,-0.321784107,0.614,0.4,0.001773675
SFTPB,6.11E-19,-0.321988232,0.504,0.294,1.58E-14
STK17A,3.90E-14,-0.322182943,0.327,0.191,1.01E-09
SMIM20,1.10E-06,-0.323036845,0.564,0.375,0.028542742
ZDHHC7,8.40E-09,-0.323143174,0.34,0.219,0.000218015
FNBP1,4.65E-09,-0.323465924,0.649,0.415,0.000120535
CYLD,1.99E-11,-0.323734211,0.413,0.257,5.16E-07
VMP1,1.95E-06,-0.323923721,0.781,0.523,0.050690353
PNISR,5.72E-06,-0.323929943,0.693,0.471,0.148456965
FMNL1,6.38E-08,-0.323953818,0.646,0.422,0.001655307
MEF2A,3.47E-10,-0.324614406,0.539,0.343,9.01E-06
CUL3,7.66E-12,-0.324809971,0.324,0.196,1.99E-07
CERS2,2.55E-10,-0.324851985,0.393,0.246,6.62E-06
RPL27A,1.69E-70,-0.325273851,1,0.997,4.39E-66
TSPAN4,1.17E-06,-0.325277597,0.674,0.458,0.030369372
WBP1L,2.86E-11,-0.325432667,0.254,0.151,7.43E-07
GLMP,3.69E-10,-0.325610602,0.49,0.311,9.56E-06
ZFAND3,1.37E-08,-0.325814928,0.417,0.271,0.000354127
PRPS2,1.22E-13,-0.326170406,0.363,0.214,3.15E-09
PPP2CB,2.64E-11,-0.326247715,0.421,0.26,6.86E-07
ZNF292,9.65E-14,-0.326467388,0.281,0.163,2.50E-09
RPS17,1.20E-49,-0.326557866,1,0.99,3.12E-45
FAM53C,4.86E-13,-0.326637521,0.356,0.215,1.26E-08
C4orf3,0.013565423,-0.326986539,0.97,0.808,1
MYCBP2,2.72E-10,-0.327058504,0.516,0.322,7.06E-06
UBE2R2,0.00153872,-0.327067133,0.698,0.488,1
EZR,3.30E-06,-0.327293918,0.785,0.53,0.085645586
RAP2C,1.61E-11,-0.327538342,0.374,0.228,4.17E-07
N4BP2L1,4.26E-12,-0.327685948,0.372,0.227,1.11E-07
YIPF4,4.85E-11,-0.327802146,0.45,0.279,1.26E-06
GID8,3.99E-10,-0.327942361,0.381,0.241,1.03E-05
STARD3NL,5.10E-08,-0.328111277,0.539,0.351,0.001323904
ILF3-AS1,1.55E-11,-0.328222995,0.358,0.22,4.01E-07
ARID5A,1.89E-09,-0.32824651,0.632,0.409,4.90E-05
ZNF90,1.03E-10,-0.328272712,0.29,0.176,2.67E-06
RNF115,1.19E-09,-0.328451552,0.334,0.212,3.09E-05
ARF6,0.30799223,-0.328469887,0.86,0.64,1
EPS15,1.77E-11,-0.32851157,0.431,0.268,4.59E-07
HMGN2,0.000299841,-0.328531209,0.998,0.889,1
POGZ,3.00E-13,-0.328606282,0.279,0.162,7.78E-09
NUDT3,1.32E-06,-0.328806764,0.625,0.412,0.03418785
FLI1,3.22E-12,-0.328931222,0.367,0.223,8.35E-08
UBE2J1,2.26E-06,-0.329381965,0.663,0.438,0.058604522
CRK,4.93E-10,-0.329961566,0.387,0.244,1.28E-05
FAM133B,3.04E-06,-0.330382604,0.654,0.446,0.078833944
BAK1,6.70E-10,-0.330951424,0.275,0.17,1.74E-05
DNAJC5,2.57E-09,-0.331200048,0.36,0.231,6.66E-05
ADCY7,2.38E-11,-0.331326062,0.428,0.265,6.18E-07
RPL29,6.65E-47,-0.331455444,1,0.984,1.72E-42
C5orf24,5.60E-10,-0.331556105,0.264,0.163,1.45E-05
HHEX,4.55E-15,-0.331674147,0.288,0.163,1.18E-10
RPS25,1.13E-57,-0.331751197,1,0.993,2.93E-53
ZC3H11A,7.29E-12,-0.332141714,0.378,0.232,1.89E-07
FOLR3,5.31E-66,-0.332185487,0.701,0.336,1.38E-61
UBE2M,8.62E-10,-0.333318586,0.332,0.209,2.24E-05
FBXO11,1.82E-10,-0.334743973,0.331,0.207,4.71E-06
USP7,7.29E-10,-0.335699905,0.262,0.161,1.89E-05
UBAP2L,4.04E-11,-0.336433471,0.264,0.158,1.05E-06
RPS27A,2.21E-66,-0.336808909,1,0.996,5.72E-62
UBAC1,1.29E-11,-0.336991889,0.423,0.261,3.34E-07
FAH,2.66E-10,-0.337032853,0.275,0.17,6.90E-06
PTP4A1,1.06E-05,-0.337915203,0.664,0.449,0.27461638
DNAJC10,2.47E-10,-0.338177101,0.292,0.18,6.40E-06
FCHO2,1.58E-13,-0.339139374,0.395,0.236,4.11E-09
RPL21,1.01E-65,-0.339155981,1,0.997,2.63E-61
SPTY2D1,5.01E-11,-0.339167093,0.305,0.187,1.30E-06
USP34,3.39E-10,-0.339484674,0.327,0.204,8.79E-06
AMD1,9.87E-05,-0.340081212,0.703,0.483,1
RPL41,3.71E-63,-0.340403355,1,0.998,9.63E-59
ASPH,1.35E-11,-0.341089034,0.393,0.243,3.49E-07
KMT2A,4.94E-11,-0.341447198,0.276,0.167,1.28E-06
NCOR2,1.71E-10,-0.341606661,0.415,0.261,4.45E-06
IFNAR1,5.96E-10,-0.341740427,0.528,0.332,1.55E-05
DUSP3,2.39E-07,-0.34186103,0.623,0.406,0.006196433
TLE4,2.51E-12,-0.342464937,0.431,0.265,6.52E-08
DLGAP4,5.43E-10,-0.342694028,0.3,0.186,1.41E-05
RPL18A,6.15E-59,-0.342741879,1,0.994,1.60E-54
NIN,7.09E-10,-0.34278515,0.301,0.187,1.84E-05
RPL35A,5.24E-43,-0.343217996,1,0.987,1.36E-38
TMCO3,7.32E-11,-0.343238675,0.292,0.177,1.90E-06
BAZ2A,9.07E-11,-0.343278307,0.34,0.211,2.35E-06
RPS9,1.83E-65,-0.343537172,1,0.994,4.74E-61
STAG2,6.19E-11,-0.343819784,0.385,0.238,1.61E-06
TACC1,3.70E-06,-0.343943819,0.655,0.439,0.096091398
HLA-DOA,7.73E-12,-0.344073799,0.598,0.373,2.01E-07
KIDINS220,2.14E-10,-0.344338423,0.324,0.201,5.55E-06
CCDC109B,1.11E-06,-0.344516609,0.654,0.438,0.028691946
PLCB2,2.63E-10,-0.345374904,0.306,0.19,6.83E-06
UBAP1,4.08E-11,-0.345466514,0.344,0.211,1.06E-06
STT3B,5.46E-08,-0.345902004,0.551,0.355,0.001416086
Mar-02,1.73E-06,-0.346451009,0.555,0.364,0.044806902
CLTC,0.000167109,-0.347089664,0.745,0.504,1
ERO1A,1.11E-13,-0.347175821,0.45,0.272,2.88E-09
ATP2B1,0.008084002,-0.347753501,0.791,0.574,1
RPL23A,5.86E-52,-0.348131025,1,0.991,1.52E-47
SMS,0.329228541,-0.348145481,0.864,0.628,1
BIN1,7.39E-15,-0.348569527,0.363,0.211,1.92E-10
RPL26,2.15E-52,-0.348861066,1,0.994,5.58E-48
GPX1,2.47E-31,-0.34888703,1,0.992,6.41E-27
ZFC3H1,3.03E-13,-0.349856826,0.259,0.148,7.87E-09
GBGT1,1.67E-08,-0.350127614,0.317,0.204,0.000432728
SLC43A2,7.63E-07,-0.350325106,0.683,0.453,0.019792927
NFATC2IP,1.60E-08,-0.350344579,0.317,0.206,0.000413788
PLXNB2,1.01E-11,-0.350427013,0.427,0.263,2.63E-07
TARDBP,4.45E-14,-0.350472823,0.395,0.232,1.15E-09
RPS6KA4,4.72E-10,-0.351083006,0.274,0.169,1.22E-05
NAAA,1.69E-10,-0.351610128,0.413,0.261,4.38E-06
SUPT5H,6.95E-11,-0.3516205,0.448,0.279,1.80E-06
HECA,4.45E-11,-0.351686121,0.403,0.25,1.15E-06
GLYR1,1.68E-13,-0.351716441,0.347,0.204,4.36E-09
ERCC1,5.14E-08,-0.351752415,0.531,0.344,0.001332438
SLC25A19,3.83E-10,-0.351869552,0.565,0.36,9.93E-06
LIPA,0.051066247,-0.351973981,0.93,0.713,1
CD109,4.68E-14,-0.352150469,0.264,0.15,1.22E-09
STAT2,3.30E-11,-0.353172118,0.446,0.278,8.56E-07
RPS2,2.95E-66,-0.353238201,1,0.995,7.66E-62
UQCC3,2.15E-12,-0.353255967,0.365,0.22,5.58E-08
HEXIM1,7.66E-16,-0.353412168,0.436,0.256,1.99E-11
REV3L,4.32E-14,-0.35393235,0.283,0.163,1.12E-09
LY96,0.148466691,-0.355122005,0.968,0.787,1
RPL31,2.23E-35,-0.355325604,1,0.985,5.78E-31
MAZ,1.85E-07,-0.355577604,0.453,0.299,0.004805026
H2AFV,0.154177115,-0.356103795,0.852,0.618,1
RHOQ,6.15E-07,-0.356327196,0.547,0.359,0.015960438
AKIRIN1,4.57E-12,-0.356898014,0.431,0.264,1.19E-07
MFSD1,0.437479633,-0.357347917,0.886,0.662,1
RPS3,1.78E-59,-0.357516632,1,0.99,4.61E-55
RPS6KB2,2.67E-08,-0.357563395,0.435,0.282,0.000692336
SMCHD1,1.70E-09,-0.357686318,0.349,0.221,4.40E-05
FBXW5,2.21E-06,-0.358320359,0.595,0.392,0.057276513
SFT2D2,2.75E-10,-0.358410206,0.459,0.289,7.12E-06
CNP,3.95E-09,-0.359193536,0.285,0.18,0.000102577
KPNA4,7.23E-10,-0.360212023,0.495,0.313,1.87E-05
ATP6V0A1,5.94E-09,-0.360315608,0.355,0.23,0.000154136
FUCA1,1.17E-26,-0.360589026,0.748,0.436,3.03E-22
PHACTR4,8.65E-11,-0.360661793,0.361,0.225,2.24E-06
TNFAIP2,0.024319139,-0.360799919,0.781,0.566,1
RPS14,9.90E-84,-0.360994169,1,0.997,2.57E-79
CIITA,1.07E-11,-0.361477849,0.314,0.19,2.78E-07
RPS27,4.71E-60,-0.361554217,1,0.997,1.22E-55
FAM213A,3.74E-07,-0.361641227,0.407,0.277,0.009703211
HDGF,6.82E-09,-0.361681483,0.46,0.294,0.000177007
CTDSP1,3.58E-10,-0.361721695,0.439,0.275,9.29E-06
RPS7,4.41E-50,-0.361957751,1,0.982,1.14E-45
CTNND1,6.53E-14,-0.362047944,0.434,0.257,1.69E-09
LYN,0.251553133,-0.362368469,0.851,0.607,1
PABPC1,3.90E-35,-0.362941279,0.999,0.945,1.01E-30
JAK1,8.33E-05,-0.363051333,0.659,0.446,1
CH17-340M24.3,5.92E-07,-0.36338053,0.554,0.369,0.015357035
FAM120A,0.0090486,-0.363532674,0.682,0.487,1
SSBP4,1.99E-09,-0.363539757,0.358,0.226,5.15E-05
FGD5-AS1,7.52E-10,-0.363843763,0.48,0.301,1.95E-05
RPL17,0.17102965,-0.364106145,0.807,0.592,1
ADRBK1,1.31E-09,-0.364375884,0.478,0.303,3.40E-05
NPM3,3.79E-11,-0.364574054,0.315,0.193,9.83E-07
SBF2,4.74E-11,-0.36461379,0.298,0.181,1.23E-06
ARIH2,9.22E-10,-0.365023728,0.342,0.216,2.39E-05
EP300,8.32E-11,-0.365164374,0.297,0.182,2.16E-06
CLPTM1L,2.06E-09,-0.366013756,0.374,0.236,5.34E-05
MBNL1,0.668278884,-0.366107365,0.836,0.619,1
TMUB1,5.27E-09,-0.366181419,0.407,0.258,0.000136731
RP11-11N9.4,8.69E-10,-0.366237802,0.268,0.166,2.25E-05
PATL1,1.45E-08,-0.366346245,0.267,0.17,0.000375565
TM9SF3,1.01E-06,-0.366387242,0.58,0.382,0.026309613
UPF3A,9.66E-10,-0.366703496,0.411,0.26,2.51E-05
C17orf89,6.28E-05,-0.367266256,0.618,0.416,1
RPL7,4.68E-67,-0.367395268,1,0.991,1.21E-62
TES,1.96E-12,-0.368112953,0.31,0.184,5.09E-08
ZBTB1,1.08E-11,-0.369524845,0.327,0.199,2.80E-07
ZMAT3,4.72E-10,-0.370297495,0.263,0.162,1.23E-05
IMPDH2,7.52E-09,-0.370305124,0.383,0.247,0.000195061
WSB2,3.27E-08,-0.370741756,0.427,0.277,0.000848056
HSPA1B,2.75E-21,-0.37125887,0.63,0.391,7.12E-17
DUSP10,7.53E-11,-0.371744676,0.284,0.174,1.95E-06
PLBD2,5.99E-11,-0.372104166,0.373,0.23,1.55E-06
UBE2D1,1.13E-05,-0.372414511,0.693,0.461,0.294178318
IL17RA,1.25E-08,-0.373001482,0.398,0.256,0.000325271
HK2,1.63E-11,-0.373010192,0.474,0.295,4.24E-07
CHRAC1,1.41E-09,-0.373035538,0.31,0.194,3.65E-05
ZFAS1,4.96E-10,-0.373113593,0.982,0.861,1.29E-05
SNX8,1.02E-11,-0.373240762,0.413,0.253,2.64E-07
RPLP1,6.45E-123,-0.373284391,1,0.999,1.67E-118
HNRNPA1,5.44E-19,-0.373334866,0.999,0.919,1.41E-14
GNLY,4.06E-41,-0.374032766,0.369,0.169,1.05E-36
SRSF6,9.62E-14,-0.374544336,0.438,0.26,2.50E-09
PRRC2B,1.86E-09,-0.374685004,0.252,0.156,4.83E-05
RASGEF1B,8.44E-08,-0.375140383,0.673,0.457,0.002189722
CARD8,3.25E-10,-0.375567448,0.378,0.236,8.44E-06
NFIC,4.25E-08,-0.375637647,0.531,0.343,0.001101539
PNRC2,0.001404226,-0.375662994,0.683,0.469,1
ST3GAL5,8.64E-13,-0.376341953,0.312,0.183,2.24E-08
ME2,2.86E-11,-0.376484182,0.546,0.337,7.41E-07
SLC25A39,0.000402452,-0.377021948,0.681,0.459,1
BIRC2,7.09E-11,-0.377031462,0.454,0.283,1.84E-06
GNPTAB,2.92E-08,-0.377086522,0.439,0.286,0.000757743
MAT2A,3.95E-07,-0.377886892,0.556,0.374,0.010244139
UBR5,2.16E-10,-0.378353169,0.311,0.192,5.61E-06
FGD4,2.85E-11,-0.378673678,0.402,0.249,7.39E-07
KDELR2,0.193217119,-0.378702333,0.837,0.59,1
SLC38A2,2.92E-06,-0.378922396,0.574,0.388,0.075872226
SIPA1L2,2.58E-08,-0.379055079,0.265,0.169,0.000670346
LYL1,7.38E-08,-0.379748953,0.369,0.242,0.001914564
ID2,0.042227346,-0.38001098,0.923,0.745,1
RPL24,1.38E-50,-0.381073748,1,0.98,3.57E-46
CNOT1,6.86E-10,-0.38142421,0.341,0.213,1.78E-05
MAX,7.52E-08,-0.382025705,0.583,0.374,0.001950036
SH3BP2,1.18E-08,-0.382212035,0.475,0.304,0.000305456
SPPL3,2.50E-10,-0.382315447,0.28,0.171,6.49E-06
CTNNB1,0.001742724,-0.382322313,0.849,0.601,1
CDV3,0.004250149,-0.382383742,0.744,0.514,1
GAPDH,3.01E-05,-0.38265591,1,0.981,0.781562712
GNA15,6.40E-07,-0.382656509,0.591,0.396,0.0165951
RPL13A,5.86E-93,-0.383595415,1,0.998,1.52E-88
KCNK6,7.02E-08,-0.38441392,0.364,0.239,0.001822375
ACSL3,8.87E-11,-0.384626358,0.42,0.261,2.30E-06
EEF1B2,2.16E-30,-0.384975182,1,0.935,5.60E-26
CNN2,1.45E-05,-0.386380552,0.527,0.354,0.376077554
CNOT6L,1.92E-11,-0.387202478,0.277,0.166,4.99E-07
ANKRD28,1.33E-08,-0.387284914,0.598,0.393,0.000343961
RBM5,1.30E-11,-0.387420514,0.324,0.196,3.36E-07
PLEKHO2,3.60E-07,-0.388186038,0.513,0.341,0.009339395
IQGAP2,1.32E-06,-0.389046087,0.625,0.412,0.034232626
Sep-06,3.20E-09,-0.389214703,0.4,0.255,8.31E-05
SSFA2,1.16E-08,-0.389582394,0.274,0.175,0.000300698
BHLHE40,3.70E-06,-0.38974363,0.702,0.469,0.096006711
TNS3,1.19E-08,-0.38989172,0.57,0.363,0.000308012
TWF1,3.97E-09,-0.390601085,0.282,0.178,0.000103117
LTBR,7.49E-07,-0.390753351,0.411,0.272,0.019423802
UCP2,0.812298744,-0.392175889,0.882,0.668,1
ITGB2,0.000875256,-0.392722176,0.952,0.796,1
GABPB1,1.44E-07,-0.393285281,0.376,0.249,0.003729514
UVRAG,1.18E-07,-0.393581711,0.262,0.169,0.003050575
UBALD2,1.80E-10,-0.393660054,0.43,0.27,4.68E-06
CREG1,0.885748979,-0.394612998,0.957,0.743,1
SRSF1,7.59E-09,-0.394951215,0.491,0.312,0.00019695
UBE2S,5.08E-06,-0.39561195,0.348,0.242,0.131886621
LYZ,0.362639091,-0.396360616,1,0.965,1
SKIL,7.87E-07,-0.396533018,0.671,0.441,0.020415727
TOB1,3.02E-13,-0.396549432,0.406,0.243,7.84E-09
EMD,4.13E-07,-0.396670281,0.414,0.276,0.010701668
H3F3B,6.25E-18,-0.396767075,1,0.973,1.62E-13
SFXN3,2.99E-09,-0.39723204,0.349,0.222,7.75E-05
PAPD4,2.49E-11,-0.397552566,0.339,0.208,6.47E-07
JMJD1C,0.000547133,-0.397654845,0.762,0.526,1
Mar-06,1.34E-08,-0.397846537,0.366,0.235,0.00034674
SLC11A2,2.25E-11,-0.398042011,0.274,0.166,5.84E-07
PHLDA2,4.04E-12,-0.398094942,0.481,0.304,1.05E-07
MZT2B,0.922853828,-0.398835799,0.833,0.61,1
CHD2,1.59E-08,-0.398973353,0.375,0.243,0.000413647
ALG13,4.73E-17,-0.399012939,0.418,0.242,1.23E-12
EPB41L4A-AS1,4.83E-09,-0.399172181,0.449,0.287,0.000125292
SVBP,1.52E-08,-0.400081933,0.563,0.356,0.000393301
RABGAP1L,3.08E-11,-0.400089211,0.357,0.222,7.99E-07
DPYD,5.67E-09,-0.400583493,0.395,0.253,0.000147136
SMG1,6.35E-09,-0.400711723,0.345,0.221,0.000164836
ANP32E,7.12E-10,-0.401146735,0.366,0.233,1.85E-05
RPS24,7.00E-84,-0.401500793,1,0.996,1.82E-79
IPO5,2.69E-10,-0.40201099,0.265,0.161,6.97E-06
C9orf72,1.51E-12,-0.402176362,0.355,0.212,3.91E-08
GALNT1,4.47E-06,-0.402859937,0.498,0.334,0.115860648
RPL34,2.99E-74,-0.404057791,1,0.996,7.77E-70
GPX3,5.56E-09,-0.404732495,0.41,0.269,0.000144245
BNIP3L,0.529472703,-0.405027294,0.867,0.639,1
METTL9,0.002128891,-0.405222355,0.555,0.399,1
Mar-01,2.58E-05,-0.406232927,0.644,0.433,0.670174442
SLC15A4,2.48E-10,-0.40630224,0.264,0.161,6.44E-06
UGCG,8.24E-07,-0.406721951,0.434,0.293,0.021378861
NARF,1.63E-09,-0.406755896,0.28,0.174,4.23E-05
RP11-452F19.3,2.66E-10,-0.406809363,0.272,0.167,6.89E-06
UBL3,1.33E-05,-0.406826633,0.548,0.369,0.345333655
DNM2,5.05E-08,-0.407127994,0.427,0.277,0.001310272
PRRC2A,5.35E-07,-0.40719461,0.267,0.176,0.013869168
PTBP1,8.82E-06,-0.40734571,0.554,0.373,0.228835935
RPL18,1.39E-66,-0.407602377,1,0.983,3.59E-62
PPP2R4,8.70E-10,-0.407785066,0.288,0.178,2.26E-05
WAC,0.001012353,-0.407816568,0.602,0.415,1
DAP,5.08E-09,-0.408237353,0.41,0.26,0.000131756
C9orf142,4.75E-07,-0.408628789,0.521,0.342,0.012328114
LILRB1,2.58E-08,-0.408873051,0.349,0.225,0.00066991
TNRC6B,2.52E-08,-0.4092938,0.452,0.294,0.000654747
ISG20L2,1.92E-07,-0.409404955,0.279,0.183,0.004982411
DCK,2.84E-11,-0.410022204,0.363,0.223,7.38E-07
C6orf48,0.117845872,-0.410693893,0.917,0.71,1
TMA7,3.85E-16,-0.411056046,0.982,0.864,9.98E-12
HNRNPUL1,0.000151787,-0.411229216,0.621,0.418,1
CCDC57,6.41E-09,-0.411417805,0.262,0.165,0.000166363
CALM3,0.620117214,-0.411505931,0.909,0.696,1
KLF4,0.991866312,-0.412290916,0.963,0.763,1
NCOA4,0.061339497,-0.412372392,0.754,0.533,1
CAMK2D,4.97E-09,-0.41366065,0.269,0.17,0.000128825
SETD5,2.26E-07,-0.413756442,0.274,0.179,0.005853745
DDX6,4.73E-12,-0.413792008,0.47,0.286,1.23E-07
TAP1,1.42E-10,-0.414943758,0.497,0.316,3.68E-06
STX16,4.85E-08,-0.415317031,0.285,0.184,0.001257603
CCR1,4.70E-08,-0.415862089,0.537,0.356,0.001218127
EHBP1L1,5.01E-06,-0.416778544,0.511,0.343,0.130014709
UBE2E1,1.10E-06,-0.416887302,0.612,0.4,0.028538746
ADAM15,4.93E-10,-0.417275871,0.313,0.194,1.28E-05
RPL32,3.09E-99,-0.417375632,1,0.997,8.01E-95
KMT2E,0.000353952,-0.417523626,0.678,0.468,1
PPP1R14B,4.47E-06,-0.418195893,0.412,0.281,0.116087583
MAD2L2,2.28E-08,-0.418517811,0.363,0.232,0.000590606
